College Board Code,School Name,Course Record ID,Course Title,Transcript Abbreviation(s),Course Number(s),Course Length,Subject Area,Discipline,UC Honors Designation,CTE Industry Sector,CTE Pathway,school_code
052891,Canyon Hills High School,BTMG36,"Journalism 1,2","JOURNALISM 1,2 (P)",1960/1961,Full Year,College-Preparatory Elective (G),English,None,,,357
052891,Canyon Hills High School,Q9WXPL,"ELD with ALD 5,6","ELD/ALD 5,6","1355,1356",Full Year,College-Preparatory Elective (G),English as a Second Language (ESL) / English Language Development (ELD),None,,,357
052891,Canyon Hills High School,MWXGSR,African American History,"EDG AFR-AMER HISTORY (P),EDG AFR-AMER HISTORYCR (P)","6560,6560R",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,BHMRE2,AP Psychology,"PSYCH 1,2 AP (HP)","6834, 6835",Full Year,College-Preparatory Elective (G),History / Social Science,AP,,,357
052891,Canyon Hills High School,GARDN3,"Critical Thinking and Social Change 1,2","CRITICAL THNK/SOC CHG 1,2 (P)","1090, 1091",Full Year,College-Preparatory Elective (G),History / Social Science,None,"Education, Child Development, and Family Services",Education,357
052891,Canyon Hills High School,ZMBNFQ,Economics ,"EDG CA ECON (P),EDG CA ECON CR(P)","6550,6550R",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,HA5TQX,Principles of Economics 1,"PR ECON 1 (P),PR ECON 1 P","6758,6758",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,X84L2A,Psychology ,"EDG PSYCH 1,2 (P)","6554,6555",Full Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,T5642J,Sociology ,EDG SOCIOLOGY (P),6557,Half Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,YD3T4K,World Regional Geography ,EDG WLD REG GEOG (P),6558,Half Year,College-Preparatory Elective (G),History / Social Science,None,,,357
052891,Canyon Hills High School,DCJGP3,Art History I ,EDG ART HIST I (P),0416,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,TA7D3N,"ASB Leadership 1,2","ASB LEADERSHIP 1,2 (P)","0850, 0851",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,FS7YWQ,AVID 10,"AVID 10 A P,AVID 10 B P,AVID 10 A, B (P)","8209,8210,8209, 8210",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,EWH46Q,AVID 11,"AVID 11 A P,AVID 11 B P,AVID 11 A, B (P)","8227,8228,8227, 8228",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,QWZ9RJ,AVID 12,"AVID 12 A, B (P),AVID 12 A P,AVID 12 B P","8221, 8222,8221,8222",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,QSEHBY,AVID 9,"AVID 9 A P,AVID 9 B P,AVID 9 A,B (P)","8207,8208,8207, 8208",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,ZBK6XJ,Business 100,"BUSINESS 100 1,2 (P)","0514, 0515",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Finance and Business,Business Management,357
052891,Canyon Hills High School,EBCE29,CA-Contemporary Health,EDG CA Health (P),2562,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,NL58NJ,Career Pathway Internship,"CAREER INTERNSHIP 1,2 (P)","0833,0834",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,TYM7K9,Introduction to Coding,EDG INTR CODING (P),3689,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,HNZYH2,"NAVAL JROTC ELECTIVE 5,6","NJROTC ELECT 5,6 (P)","4585, 4586",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,C3QX89,"Naval JROTC Elective 7,8","NJROTC ELECT 7,8 (P)","4587, 4588",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,CAQMPL,Personal Finance,EDG PERSONAL FINANCE (P),6720,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
052891,Canyon Hills High School,LWX6HJ,"Theatrical Management and Design 1,2","THEATR MGMT/DSGN 1 (P),THEATR MGMT/DSGN 2 (P)","0685,0686",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Arts, Media, and Entertainment",Production and Managerial Arts,357
052891,Canyon Hills High School,BDG2QW,Yearbook,PUBL/YRBK 9-12 (P),8421,Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,357
